,gp0_Var_0_Bajo,gp0_Var_1_Bajo,gp0_Var_2_Bajo,gp0_Var_6_Bajo,gp0_Var_7_Bajo,gp3_Var_8_Bajo,gp_Var_9_Bajo,gp_Var_9_Medio,gp_Var_14_Medio,gp_Var_14_Bajo,gp_Var_15_Medio,gp_Var_15_Bajo,gpT_Var_13T_Alto,gpT_Var_13T_Medio,gpT_Var_10T_Medio,gpT_Var_10T_Bajo
1143,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
4889,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
4578,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0
0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
2900,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0
4060,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1
2851,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
7621,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0
2230,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1
7467,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
686,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
6499,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
6364,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
1186,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0
127,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1
4826,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
7819,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
6672,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
6043,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0
69,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
8544,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
4134,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
842,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
7429,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1
6109,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
324,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
3449,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
8204,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1
5891,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
3990,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
4961,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1
390,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
5829,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0
853,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1
5069,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
818,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
383,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
8604,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1
5159,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
